timestamp,measurement,device_ip,device_name,location,humidity,temperature
2026-03-30 14:27:44.854159,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:27:54.919349,environment,192.168.1.181,192.168.1.181,lab,38.9,
2026-03-30 14:27:54.919349,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:28:06.012367,environment,192.168.1.181,192.168.1.181,lab,38.8,
2026-03-30 14:28:06.012367,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:28:19.171994,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:28:19.171994,environment,192.168.1.181,192.168.1.181,lab,38.8,
2026-03-30 14:28:29.198502,environment,192.168.1.181,192.168.1.181,lab,38.9,
2026-03-30 14:28:29.198502,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:28:39.260283,environment,192.168.1.181,192.168.1.181,lab,38.9,
2026-03-30 14:28:39.260283,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:28:49.322508,environment,192.168.1.181,192.168.1.181,lab,38.8,
2026-03-30 14:28:49.322508,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:28:59.457244,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:28:59.457244,environment,192.168.1.181,192.168.1.181,lab,38.9,
2026-03-30 14:29:09.522975,environment,192.168.1.181,192.168.1.181,lab,38.9,
2026-03-30 14:29:09.522975,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:29:19.576835,environment,192.168.1.181,192.168.1.181,lab,38.8,
2026-03-30 14:29:19.576835,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:29:29.641115,environment,192.168.1.181,192.168.1.181,lab,38.7,
2026-03-30 14:29:29.641115,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:29:39.705110,environment,192.168.1.181,192.168.1.181,lab,38.8,
2026-03-30 14:29:39.705110,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:29:49.764367,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:29:49.764367,environment,192.168.1.181,192.168.1.181,lab,38.9,
2026-03-30 14:29:59.831078,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:29:59.831078,environment,192.168.1.181,192.168.1.181,lab,38.7,
2026-03-30 14:30:09.899320,environment,192.168.1.181,192.168.1.181,lab,38.8,
2026-03-30 14:30:09.899320,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:30:19.964870,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:30:19.964870,environment,192.168.1.181,192.168.1.181,lab,38.8,
2026-03-30 14:30:30.033360,environment,192.168.1.181,192.168.1.181,lab,38.9,
2026-03-30 14:30:30.033360,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:30:40.096067,environment,192.168.1.181,192.168.1.181,lab,38.7,
2026-03-30 14:30:40.096067,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:30:50.154260,environment,192.168.1.181,192.168.1.181,lab,38.7,
2026-03-30 14:30:50.154260,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:31:00.216212,environment,192.168.1.181,192.168.1.181,lab,38.8,
2026-03-30 14:31:00.216212,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:31:10.275948,environment,192.168.1.181,192.168.1.181,lab,38.8,
2026-03-30 14:31:10.275948,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:31:20.337853,environment,192.168.1.181,192.168.1.181,lab,38.8,
2026-03-30 14:31:20.337853,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:31:30.397142,environment,192.168.1.181,192.168.1.181,lab,38.59,
2026-03-30 14:31:30.397142,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:31:40.464507,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:31:40.464507,environment,192.168.1.181,192.168.1.181,lab,38.7,
2026-03-30 14:31:53.542851,environment,192.168.1.181,192.168.1.181,lab,38.8,
2026-03-30 14:31:53.542851,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:32:03.574857,environment,192.168.1.181,192.168.1.181,lab,38.9,
2026-03-30 14:32:03.574857,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:32:13.643515,environment,192.168.1.181,192.168.1.181,lab,38.8,
2026-03-30 14:32:13.643515,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:32:23.697737,environment,192.168.1.181,192.168.1.181,lab,38.8,
